ETS2	Slc9a6
AP-2rep	4833413D08Rik
ETS2	Slc9a7
PPARG	Sppl3
AML1	Abhd8
AP-2rep	C4bp
ETS2	Slc9a8
STAT6	Mef2a
E2F-1	Mir141
YY1	Celsr1
ETS2	Slc9a9
HNF4	Il10
ATF2	Asxl3
ETS2	Rabggta
Stat3	Loh12cr1
HNF4	Il11
ETS2	Metap1d
OTX	S1pr1
OTX	2210012G02Rik
MAFA	Cytip
STAT6	Mef2d
YY1	Celsr3
Stat3	Mcc
HNF4	Il13
SOX5	Jag1
NF-Y	Pask
SREBP-1	Slc25a23
AP-2rep	Cyp2d37-ps
OTX	Hist1h4m
HNF4	Il15
OTX	Hist1h4n
c-Rel	Gm2058
HNF4	Il16
GLI3	Nkx2-2as
E2F-1	Dlg3
STAT6	Hspa1l
ETS2	Aipl1
E2A	Gm10649
HNF4	Il18
ETS2	4930505A04Rik
HNF4	Il19
MAFA	Psmb8
PPARG	Map2k3
AP-1	Ptp4a2
REX1	Tomm40l
LXRdirectrepeat4	Ptf1a
PPARG	Otud4
ETS2	Myo1b
ETS2	Myo1c
PPARG	Map2k6
SF1	Map2k7
ETS2	Fgf10
PPARG	Map2k7
GABPA	Fam172a
ETS2	Fgf11
ETS2	Myo1e
ETS2	Myo1f
ETS2	Fgf12
Stat3	Gm11744
RFX1	Skap1
PPARG	Tsga13
ETS2	Fam189a1
Myc	Adk
TAL1	H3f3b
ETS2	Myo1g
ERR2(ESRRB)	Ndufb5
ETS2	Fgf14
PPARG	Ttf2
myogenin	Plat
myogenin	Plau
SOX5	Mir196a-1
AP-1	Myl6b
HNF4	Gm5617
ETS2	Adad2
Octamer	Ppp1r1b
ETS2	Fgf16
ETS2	Fgf17
CLOCK:BMAL	Nit1
HNF4	Fam113a
AML1	Arid3b
HNF4	Dmbx1
HNF4	Fam113b
MAFA	Rai12
GABPA	Sf3b3
HNF4	Canx
Esrrb	Sdk1
NFAT3	Fam171b
GABPA	Sf3b4
HNF4	Tiprl
GABPA	Sf3b5
HSF	Sema6c
E2F-1	Prhoxnb
HNF4	Gm10857
GLI1	Dcaf11
SOX5	Cep120
MEF-2	Col13a1
OTX	4930430F08Rik
myogenin	Rbmx2
STAT6	Opcml
AML1	Ntf3
PPARG	Olfr910
STAT6	Aplp2
ESE1	Cga
PPARG	Gm4836
PPARG	Olfr912
RFX1	Prrt2
TGIF	Lims1
PUR1	Chd2
AML1	Akap2
HNF4	Adat2
HNF4	6330439K17Rik
AML1	Akap3
HNF4	Adat3
GATA-X	Chchd7
OTP	4931429L15Rik
T3R	Mpzl2
GABPA	Elp2
NFAT3	Batf
LBP9(Tcfcp211)	Pth1r
PMX2A	Lmo3
Nkx2-5	Aebp1
RFX1	Sulf1
Stat3	D4Ertd22e
alpha-CP1	Kctd9
USF	Eif1b
HNF4	Tas2r140
PUR1	Fam161a
OTX	BC030500
HNF4	St3gal1
NF-Y	Mlec
SF1	Grap2
AML1	Runx1t1
HNF4	St3gal2
HNF4	Il1a
SOX5	Olfr281
AP-2rep	Egln3
HNF4	St3gal3
HNF4	Il1b
HNF4	St3gal4
AML1	Agr2
myogenin	Plb1
HNF4	St3gal5
HNF4	St3gal6
MEF2A	Nisch
SOX5	Mcf2
GR	Cnn3
FRA1	Prss22
AML1	Hgd
HNF4	Slc35b1
SOX5	Chuk
ETS2	Rbm10
HNF4	Crtc1
ETS2	Grid2
NF-Y	Hnrnpk
hbp1	Hist1h2bh
Stat3	Mir574
AML1	Prkra
AP-2rep	Rnaseh2c
Nkx2-5	4930404I05Rik
SOX5	2610018G03Rik
GABP	Srpr
ETS2	Mbd3l2
USF	Fam118b
FLI1	Tmem216
HNF4	Gm8801
NUR77	Glrx5
ETS2	Rbm15
K-2b	Irx6
AP-2rep	Amigo1
HNF4	Rnase1
STAT6	Camk1d
ipf1	Calr
SOX5	Krt71
COUP	Msra
HNF4	Dio3os
AP-2rep	Cds1
NF-Y	Hnrnpr
PPARG	Slit2
TEF	Ptprj
HNF4	Rnase4
TEF	Ptprk
HNF4	Pex11a
myogenin	Hmha1
GLI3	Plac1
HNF4	Pex11b
Ebox	Dusp7
NF-kappaB	Taf4b
Stat3	Pros1
HNF4	Rnase6
HNF4	Sprr4
HNF4	Pex11c
PPARG	Ildr2
En1	Stbd1
Pdx1	Sox6
HNF4	Rnase9
AP-2rep	Olfr1339
Stra13	Ube2q1
MAFA	Rabl3
AP-2rep	Phospho2
CLOCK:BMAL	Bmp2k
MATH1	Klhl6
myogenin	5330417C22Rik
Stat3	C77080
SF1	Pex5
Dbx-2	Pitx2
HNF4	Trim71
SOX5	Crip3
c-Rel	Eif4a2
HOXA5	Gm10466
HNF4	Trim72
HEB	Abhd4
HNF4	Tbc1d30
AP-1	Fli1
myogenin	Ppl
myogenin	Qrich1
HNF4	LOC100504710
myogenin	Qrich2
HNF4	Kcnmb1
GR	Zic3
GABPA	Dda1
HNF4	Acvr1b
HNF4	Kcnmb2
SOX5	Dmp1
MyoD	Ccdc148
ETS2	Pcdhga1
Tcfcp2l1	Slxl1
HNF4	Acvr1c
HNF4	Kcnmb3
HEB	Abhd8
HNF4	Gm7367
HNF4	Kcnmb4
STAT6	Clcc1
HNF4	Zbtb7a
USF	Plagl1
NRF-1	Ap2m1
HNF4	Zbtb7b
MAFA	Murc
HNF4	Zbtb7c
E2A	Spns2
HNF4	Ube4a
HNF4	Pask
HNF4	Pnck
HNF4	Ube4b
ETS2	Pcdhga7
HEB	Mylpf
HNF4	Scrn1
GR	Neurl2
HNF4	Scrn2
GABP	Tmem104
Nobox	Mreg
Nkx2-5	Rap1gap
GR	Neurl3
AP-2rep	Il2
HNF4	Scrn3
USF	Atg14
OTP	Comtd1
AP-2rep	Il3
STAT6	Fhdc1
AP-2rep	Il4
PPARG	Drd3
NF-Y	A330023F24Rik
YY1	Runx1t1
MAFA	Eif4ebp1
STAT1:STAT1	Mir3064
AP-2rep	Il6
RAR	Mdk
LMAF	Casc4
Stat3	Rfx5
MAFA	Eif4ebp3
HNF4	Eny2
MAFA	Prima1
EBF	Opa3
Stat3	Gna14
OTX	Htr2c
Stat3	Rfx7
HNF4	Onecut1
FLI1	Plekha2
HNF4	Onecut2
SOX5	Sgcd
MEF2A	Mir132
HNF4	Onecut3
HNF4	Il20
Ebox	3110002H16Rik
ETS2	Smpd4
SF1	Fundc2
PPARG	Fundc1
HNF4	Il21
AP-2rep	4930529M08Rik
HNF4	Il22
SOX5	E130308A19Rik
Pdx1	Ywhaq
PUR1	Kif7
E2F	Ipo7
CREB	Rps13
ETS2	Rtp2
ETS2	Ipcef1
MAFA	Psmc2
HNF4	Il24
PUR1	Tekt5
HNF4	Il25
P53	Bax
ETS2	Rtp3
PPARG	Nap1l4
Elk-1	Nthl1
MAFA	Psmc5
AP-2rep	Prkca
SREBP-1	Slc25a36
PUR1	Ost4
HNF4	Il27
MEF2A	Mir139
PUR1	Khdrbs3
ATF2	Ubn1
SOX5	Gm648
PPARG	Pou3f1
myogenin	Fam180a
isx	Otx2
AP-2rep	Prkcd
ETS2	1810013D10Rik
SOX5	Nxf1
Stat3	Mdk
ETS2	Spert
FRA1	Kcnk10
PPARG	Gm221
PPARG	Pou3f4
PPARG	Wfdc2
Nobox	Slc12a9
AP-2rep	Akr1c19
myogenin	Padi3
FRA1	Olfr218
myogenin	Cd164l2
CREB	Ccnh
myogenin	Padi4
E2A	Fut11
NRSF	Ghsr
PUR1	Cabp1
CREB	Ccni
GABPA	Fam173b
PUR1	Aldoc
E2F-1	Pgap1
ETS2	Fgf23
Ebox	Trip6
deltaEF1	D630041G03Rik
HNF4	Gm5627
myogenin	Ushbp1
HNF4	BC056474
AML1	Arid4a
Esrrb	D930015E06Rik
COUP	Tspo2
HNF4	Rnasek
PUR1	Cabp7
SOX5	Sgcz
ATF2	Zfp219
HNF4	Rnasel
PUR1	1700012A03Rik
HNF4	Gm10863
CTCF	Kcnh1
AP-2rep	Prkcq
T3R	D330050I16Rik
NRF-1	Spo11
T3R	Gpr124
HNF4	Mcpt-ps1
NF-Y	Mboat1
ETS2	Evi2b
HNF4	Rock1
myogenin	Col4a3bp
NF-Y	Mboat2
T3R	Opa1
HNF4	Rock2
AML1	Sestd1
HEB	Akap9
SOX5	Msl2
HNF4	D330012F22Rik
ETS2	Pias3
En-1	Slc6a5
ETS2	Etl4
AP-2rep	Mir874
HNF4	Acyp2
TEF	Lmo1
HNF4	Mlec
GR	Astn1
HNF4	Nrsn1
ipf1	Zfhx4
myogenin	Appl1
myogenin	Cbln1
ETS2	Csf3r
STAT6	BC031353
HNF4	Nrsn2
HNF4	Hmbs
T3R	Tuft1
AP-2rep	Mir877
myogenin	Myoz1
AML1	BC021767
Lyf-1	Rsrc1
PUR1	Sh3rf2
HNF4	Gimap3
E2A	Oc90
AP-2rep	Mir879
PPARG	Nucb2
Nkx2-5	Slc39a10
SOX5	Pipox
COUP	Sgk1
HNF4	Serpine1
HNF4	1700065I17Rik
HNF4	Serpine2
Nkx2-5	Arhgdig
HNF4	Serpine3
AML1	Sgpl1
HEB	Slc26a9
SOX5	Rnps1
HNF4	Gimap8
RFX1	Uvrag
AP-2rep	Pdx1
SOX5	Dcdc2a
USF	Zbtb1
NRF-1	Rad54b
ETS2	Dusp2
SOX5	Cript
PUR1	Tob1
ETS2	Dusp3
HNF4	Rbmxrt
GABPA	Eya3
SOX5	Vmn1r55
Nkx2-5	Csnk1a1
HNF4	1810013L24Rik
HNF4	Spaca3
YY1	LOC100502921
Stat3	Calml4
HNF4	1700029J11Rik
SOX5	Vmn1r56
ETS2	Ehmt2
ESE1	Chm
HNF4	Spaca4
HNF4	Spaca5
SOX5	Gm13629
SOX5	Vmn1r58
GABPA	Faf2
HNF4	Spaca7
AP-1	Ubc
ETS2	Dusp8
AP-2rep	1700066B19Rik
ETS2	Dusp9
SOX5	Olfr290
PPARG	Vps13d
REX1	Hoxa1
SOX5	Olfr291
CREB	Ints7
Nkx2-5	Stard3nl
SOX5	Olfr292
PPARG	Rasgrp1
Stat3	F2rl3
PUR1	BC006779
PPARG	Rasgrp2
PUR1	Ggnbp1
E2A	Tubb2a-ps2
SOX5	Olfr293
MAFA	Hamp2
PPARG	Rasgrp3
AP-2rep	Mir92-1
STAT6	Thra
PPARG	Htr1f
EBF	Mir3057
Nkx2-5	Cul1
Ebox	Zic1
SOX5	Olfr295
PPARG	Rasgrp4
ETS2	Mir199b
STAT6	Pycrl
HNF4	Cap2
SOX5	Olfr297
ETS2	Rbm20
Stat3	Mir582
Alx-4	Myf6
SOX5	Olfr298
RFX1	Zbtb48
MAFA	Sik1
YY1	2310015A10Rik
FRA1	Prss36
NRF-1	BC002163
FLI1	Tmem222
FLI1	Tmem223
E2A	Fam53c
MAFA	Sik3
ETS2	Rbm24
AP-2rep	P4hb
Myc	Hspa8
ETS2	Dhh
Stat3	Cyr61
PPARG	Hal
AP-2rep	Olfr1341
AP-2rep	Olfr1342
AP-1	Eif3j
PUR1	Agxt2l1
ETS2	Rbm28
HNF4	Vegfa
c-Myc:Max	Lypd1
HNF4	Vegfb
SOX5	Krt83
STAT6	Camk2g
AML1	Tppp3
SOX5	Krt84
USF	Dazap2
myogenin	1300018I17Rik
HNF4	Vegfc
CTCF	Upk2
REX1	Angpt1
ETS2	Cct6b
Esrrb	Chrm4
FRA1	Repin1
HNF4	Gm2447
Nkx2-5	Gm10636
Nkx2-5	Oma1
AP-2rep	Rnls
myogenin	Obfc2b
HNF4	Usp27x
myogenin	Zfp862
HNF4	Lrrn1
PPARG	Btf3l4
AP-2rep	Cbll1
SOX5	Mir301
Elk-1	Defb7
HNF4	Lrrn2
HNF4	Lrrn3
AP-2rep	Prr15l
HNF4	Lrrn4
COUPdirectrepeat1	Plvap
Nkx2-5	Skor2
Lyf-1	Ddah2
Oct-1	Gcnt2
AP-2rep	Gpatch2
ATF2	Atp6v0c-ps2
hbp1	Tacr2
HNF4	Timm8a1
hbp1	Ccdc132
CLOCK:BMAL	Stk16
USF	Mon1a
HNF4	Timm8a2
MAFA	Mir758
PPARG	Spint3
T3R	Chga
ETS2	R3hdm2
HNF4	Acvr2a
HNF4	Pate
myogenin	Dtnb
HNF4	Acvr2b
HNF4	Mlf1
SF1	Xylt1
MATH1	2810433D01Rik
PPARG	Iltifb
TCF1	Pcdh19
HNF4	Mlf2
ETS2	Pcdhgb2
HNF4	Pamr1
ETS2	Avpr2
HNF4	Zbtb8a
Stat3	Ripply3
HNF4	Zbtb8b
hbp1	Gm6654
ETS2	Ms4a1
ETS2	Pcdhgb5
MAFA	Alcam
E12	Krt15
PPARG	Adora2a
AP-2rep	Malt1
AML1	Blmh
MAFA	Gm884
OCT-x	Pim2
HNF4	BC002163
HNF4	Pcnxl2
HNF4	Pcnxl3
SOX5	Ebf1
ETS2	Ms4a5
MAFA	Paqr4
NFAT3	Hes7
AP-2rep	Fam134a
AP-2rep	Fam134b
COUP	Mir494
ETS2	Tap2
myogenin	Tomm20l
AP-2rep	Fam134c
myogenin	Scyl2
Nkx2-5	Nprl2
PUR1	Slamf9
AML	Srgap2
MAFA	Paqr8
AML1	Rab3il1
ETS2	Trip6
PPARG	4930558C23Rik
GSH2	Snora19
Nkx2-5	Gpr183
E2A	Ssr4
MAFA	Gm1337
Lyf-1	Mir3093
STAT6	Cav3
ETS2	Notum
RFX1	Pkib
MAFA	Hp1bp3
HNF4	Il31
SMAD3	Prrxl1
PPARG	Osbpl7
AP-2rep	Irak2
Nkx2-5	Golim4
STAT6	Gm14316
HNF4	Il33
myogenin	Ppard
AP-2rep	Pdxp
myogenin	Ap3m1
HNF4	LOC100048884
GLI3	Negr1
HNF4	Il34
PPARG	Osbpl9
myogenin	Ap3m2
PPARG	Gorab
ETS2	Kirrel
ATF1	Per1
FRA1	Olfr222
HNF4	Capg
NF-1	Pipox
AP-2rep	Btaf1
myogenin	Fam181a
CREB	Rps29
ETS2	Kpnb1
MAFA	Psmd7
HNF4	Trmt12
TGIF2	Nr3c1
GABPA	Rps19bp1
Lyf-1	Sgca
SF1	Nlgn3
Pax	Lmo4
ETS2	Myo3b
MAFA	Pgm5
Nobox	Cldn7
AML1	Cpne4
HNF4	Sstr1
MAFA	Pafah1b1
GABPA	Ppip5k2
HNF4	Sstr2
HNF4	Sstr3
HNF4	Zp4-ps
CLOCK:BMAL	Mafg
PPARG	Tbkbp1
GABPA	Gosr2
NF-kappaB	Mirlet7i
HNF4	Gm5634
MAFA	Dlc1
AML1	Cpne7
HNF4	Gm5635
ESE1	Chst7
HNF4	Sstr4
PUR1	Col20a1
AML1	Cdx2
AML1	Pag1
HNF4	Sstr5
FLI1	Rac1
Nkx2-5	Dus2l
SOX5	P2ry10
AML1	Cdx4
MATH1	Smad5
MAFA	BC030307
AML1	Arid5a
myogenin	Prkg2
RFX	Kcnk5
HNF4	Fam115a
E2A	Ceacam9
SOX5	P2ry13
AML1	Rabgap1l
SOX5	Mir30a
SOX5	Mir30b
Ebox	Slc12a6
NUR77	Mir219-1
AML1	Scel
Stat3	Tpmt
HNF4	Styxl1
SOX5	Mir30d
MAFA	Actl7a
SOX5	Mir30e
PPARG	Slc16a13
MAFA	Actl7b
c-Ets-2	Tctex1d4
MAFA	Cdca5
Nkx2-5	Fgf4
CLOCK:BMAL	Nkx1-2
alpha-CP1	Stra13
MAFA	Gnas
AP-2rep	Hpgd
AML1	Mospd1
MAFA	Cdca7
ETS2	Unc13a
ETS2	Meox1
ETS2	Unc13b
AP-2rep	Cntfr
NF-Y	Rabl5
HNF4	Tmem132a
MAFA	Figf
ETS2	Fam13a
Elk-1	Gltscr2
SMAD3	Cpa1
ETS2	Unc13c
NF-kappaB	Rrp8
PPARG	Ysk4
ETS2	Fam13b
ETS2	Sykb
ETS2	Unc13d
c-Myc:Max	Commd3
HNF4	Tmem132b
OTX	Vti1b
Stat3	Bhlha9
GABPA	Cmtm6
ETS2	Tnf
MAFA	Gnaz
HNF4	Tmem132d
HNF4	Tmem132e
HNF4	Serpinf1
SOX5	Vmn1r60
HNF4	Serpinf2
ETS2	R3hdml
PPARG	Ggt1
SOX5	Vmn1r62
HNF4	1810012P15Rik
c-Myc:Max	Commd9
HMGIY	Phox2b
SOX5	Vmn1r63
STAT6	Olig2
STAT6	Crebbp
myogenin	C730027H18Rik
OTX	Phtf2
RFX1	Ralyl
MAFA	Sfxn3
ETS2	Trp63
HNF4	Elac2
CHX10	Mab21l1
ETS2	Tnn
Nkx2-5	C730036E19Rik
PUR1	Herc1
NF-Y	Osm
HNF4	Slco3a1
HNF4	Zfp804a
AP-2rep	Dio1
PUR1	Ptch1
ATF	Rbms2
HNF4	Zfp804b
SOX5	Rrp8
ETS2	Tnr
PUR1	Laptm5
FRA1	Mir767
PPARG	Htr2c
HNF4	Kcnn1
HNF4	Kcnn2
Nobox	Slc44a1
HNF4	Kcnn3
Arnt	Zic1
c-Myc	Fbxo32
CTCF	4930579G18Rik
USF	Eif3k
T3R	Ednra
HNF4	Kcnn4
HNF4	Slc35d1
PPARG::RXRA	Esrra
Arnt	Zic3
ETS2	Amtn
PUR1	Ankrd11
PUR1	Ankrd12
PUR1	Bcl6
HNF4	Slc35d3
Lyf-1	Cxcl5
TAL1	D4Bwg0951e
CREB	Usp9x
OTX	Alb
COUPdirectrepeat1	Gbf1
PPARG	Schip1
CTCF	Dio3
ATF1	Tspyl4
NF-Y	Rps6kl1
STAT6	Nfkb2
AP-2rep	Olfr1353
MAFA	Gnb2
ETS2	Rbm39
SOX9	Col12a1
HNF4	Pbrm1
ETS2	Gale
PPARG	Six3os1
ETS2	BC024386
AP-2rep	Cdc42ep1
COUP	LOC100302688
AML1	Cadm3
ETS2	Mphosph9
PPARG	Olfml1
GR	Veph1
AP-2rep	Cdc42ep3
deltaEF1	Pde1b
AP-2rep	Olfr1359
FRA1	Ctps
PPARG	Olfml3
myogenin	Zfp871
MAFA	Mir760
AML1	Mrpl1
AML1	Mrpl2
NRF-1	Sec14l1
SOX5	Fcgr1
MAFA	Mir761
MAFA	Mir762
AML1	Mrpl3
MAFA	Ets2
ESE1	Olfr398
MAFA	Kbtbd10
SOX5	Fcgr3
Nkx2-5	Rbpj
SOX5	Fcgr4
HNF4	Psmb10
HNF4	Psmb11
SOX5	B230216N24Rik
CTCF	Ankrd2
GABP	Herpud2
ETS2	Galp
STAT6	Itga11
myogenin	Mesp1
AML1	1600021P15Rik
Stat3	Hhipl1
AML1	Cacna2d1
AML1	Mrpl9
PPARG	Slc22a19
ETS2	Trappc1
PPARG	Gm1673
SF1	D11Wsu47e
ETS2	Trappc2
Stat3	Morn4
Msx-2	Prkg1
GR	Myf6
STAT6	Deaf1
STAT6	Znrf2
ETS2	Trappc3
HNF4	BC020535
Stat3	Morn5
myogenin	C030046E11Rik
ETS2	Pcdhgc4
GABPA	Idh3b
ETS2	Zbtb8os
ETS2	Pcdhgc5
PUR1	Foxred1
ETS2	Plekhg6
SF1	C030002c11rik
Mycn	Snrpd1
HNF4	Adm2
AML1	Nfatc3
SOX5	Sncaip
ETS2	Trappc9
myogenin	Gdap1l1
AP-2rep	Rsph4a
AP-2rep	Fam135a
PPARG	Atat1
AP-2rep	Fam135b
ETS2	Nlrx1
myogenin	Yipf2
myogenin	Yipf3
myogenin	Tmprss3
AML1	Lrit2
HNF4	Mterfd1
CTCF	Col1a1
GABP	Tmem127
NRF-1	Socs4
myogenin	Tmprss4
AP-2rep	Slc5a1
LMAF	Gt(ROSA)26Sor
GABP	Tmem128
AML1	Lrit3
HNF4	Mterfd2
CLOCK:BMAL	Nckap5l
SOX5	Hist3h2ba
USF	Mtfp1
PUR1	Wdr6
YY1	Adnp
Meis1	Naa50
GABPA	Nudt5
CREB	Tra2a
CREB	Tra2b
HEB	Cpne4
AP-2rep	Slc5a7
OTX	Gm5087
MAFA	Edn3
MyoD	Sorcs2
HNF4	Cnksr1
AP-2rep	Pdyn
Stra13	Glyr1
CTCF	Ssh2
HNF4	Cnksr2
HNF4	Mir30c-1
T3R	Atp5g3
STAT6	Mir409
PUR1	2610507B11Rik
HNF4	Cnksr3
E2A	Etnk2
REST	Hcn3
AP-2rep	Tsc22d2
MAFA	Psme3
PPARG	Mknk2
AP-2rep	Tsc22d3
PUR1	1110006O24Rik
ERR2(ESRRB)	Cbfa2t2
TAL1	Oplah
NFAT3	Aim1
AP-2rep	Tsc22d4
ETS2	Capn2
myogenin	Gfi1
FRA1	Olfr231
Stat3	Mff
ETS2	Pphln1
ETS2	Capn3
GR	Nxph3
AP-2rep	Hmha1
SOX5	6330407J23Rik
Nkx2-5	Ampd1
AML1	Upp2
GR	Nxph4
ETS2	Capn5
MAFA	Cuzd1
myogenin	Thbs1
NF-Y	Usp21
ETS2	Capn6
PUR1	Mir3100
PPARG	Cml2
PPARG	Muc15
PUR1	Chaf1a
PUR1	Mir3101
PPARG	Cml3
ETS2	Capn8
Arnt	Zbtb40
PUR1	Mir3102
Stat3	4930503L19Rik
PPARG	Adamts2
ISL1	Arrdc3
PPARG	Adamts3
HNF4	Gm5643
PPARG	Adamts4
AP-2rep	Galnt10
PPARG	Vwa5b1
T3R	Dmc1
PPARG	Slc39a5
SOX5	Pppde2
ETS2	Zfhx2as
PPARG	Agap3
EBF	Slc5a2
PPARG	Slc39a7
GR	Lats2
AP-2rep	Galnt13
SF1	Mgat5
IRF	H2-K2
AP-2rep	Galnt14
Elk-1	Ddx49
PPARG	Adamts9
HNF4	Fam116b
AML1	Adarb2
PUR1	Aanat
MEF-2	Speg
ETS2	2010320M18Rik
ETS2	Invs
hbp1	Olfr1000
ETS2	2210018M11Rik
myogenin	Klkb1
ATF2	Glod4
HNF4	Atrn
HNF4	Snrnp25
PPARG	Krtcap3
PPARG	E130114P18Rik
PPARG	Dlgap1
PUR1	Whsc1l1
ETS2	Gucy2d
MAFA	Gart
Nkx2-5	Nuak1
SOX5	Oxsr1
PPARG	Dlgap3
PUR1	Th
PPARG	Dlgap4
USF	Nit1
AML1	Gprc5a
PPARG	Tsnaxip1
hbp1	Olfr1008
MAFA	Pcyox1l
hbp1	Olfr1009
Esrrb	Usmg5
AML1	Gprc5c
Nkx2-5	Omg
NF-Y	Cnbp
MAFA	Lipt2
Nobox	5430435G22Rik
NF-Y	0610030E20Rik
HNF4	Atrx
SOX5	Akt3
AML1	Exph5
NRF-1	Ppme1
HNF4	Pkhd1
HNF4	Serping1
STAT6	Hcfc2
GR	Gm11468
MAFA	BC049352
NFAT3	Tmprss11a
Meis2	1810012P15Rik
PPARG	Kbtbd13
Nkx2-5	Omp
c-Myc:Max	Ndufs1
HNF4	1110021J02Rik
STAT6	LOC100504069
SOX5	Vmn1r76
ETS2	Trp73
AML1	Spink11
Nkx2-5	Zpbp
AP-2rep	Ptger1
Stat3	Banf1
HNF4	Mark1
HNF4	Mark2
HNF4	Mark3
SOX5	4922501C03Rik
myogenin	Snca
RAR	Runx1t1
ETS2	Brox
myogenin	Sncb
HNF4	Mark4
USF	Eif4e
PPARG	Htr3a
NF-Y	Otp
HNF4	Wap
Stat3	Stk33
HNF4	A730020M07Rik
NF-kappaB	Rbl1
Stra13	Eif4g1
PUR1	Nkg7
COUP	2310015A10Rik
HNF4	Was
GR	Hbb-b1
AP-2rep	Gpsm1
STAT6	Phyhd1
HEB	Cadm2
MAFA	Usp43
GR	Hbb-b2
AP-2rep	Padi3
AP-2rep	Gpsm2
HNF4	Car1
GLI3	Il17b
AP-2rep	Gpsm3
Stat3	Stk38
HEB	Cadm3
HNF4	Rad21l
IRF	Parp3
NFAT3	Prex2
HNF4	Car2
ETS2	Tox
Stat3	Stk39
STAT6	Wwc2
HNF4	Car3
HNF4	Trmt2a
HNF4	Car4
HNF4	Cxxc4
HNF4	Cxxc5
STAT6	Myo1c
HNF4	Slc35e4
MAFA	Usp47
MAFA	Sim2
HNF4	2610100L16Rik
HNF4	Lgmn
Stra13	Rad51l1
ETS2	Necab3
HNF4	Car7
STAT6	Fgf12
AP-2rep	Psenen
HNF4	1700003H04Rik
HNF4	Car8
STAT6	Fgf13
MAFA	D230025D16Rik
ETS2	Rbm45
HNF4	Car9
STAT6	Fgf14
AP-2rep	Olfr1360
ETS2	Fblim1
Lyf-1	Vgll4
ETS2	Rbm47
E2F-1	Pdgfra
NF-Y	Psmd4
myogenin	Nhlrc4
STAT6	Fgf16
HNF4	D1Ertd622e
ETS2	Nalcn
SRF	G3bp2
SOX5	Rbl2
CREB	Zfp219
GABP	Tfg
PUR1	Pard6b
CTCF	Ube2k
MAFA	Gas7
EBF	Ptger4
Stat3	Dclk1
Nkx2-5	Barx2
Stra13	Prrc2c
ETS2	Ndufa4
Bach2	Ercc1
PPARG	Slc22a20
HNF-4	Gbf1
MAFA	Egf
SOX5	Steap2
SRF	Pdlim5
HNF4	Dlx1as
SOX5	Steap3
ETS2	Ndufa7
AML1	Cdyl
SREBP-1	Nptn
OTX	Klrg1
AP-2rep	Cbln1
SOX5	Steap4
AP-2rep	Myoz1
ETS2	Ndufa8
AP-2rep	Cbln3
SOX5	Pum1
Nkx2-5	Pura
FLI1	Rnf167
AP-2rep	Cbln4
SF1	Cyp7a1
MAFA	Rrp1b
FLI1	Rnf168
FRA1	Chst2
myogenin	Col22a1
AML1	Tnrc6b
PPARG	Barhl1
HEN1	Tcfap2b
ETS2	Tyrobp
SOX5	Mir329
SMAD3	Plcxd1
HNF4	Mlh1
HNF4	Cwf19l1
NF-Y	Cdca2
NF-Y	Cdca3
ETS2	Nr6a1
Meis2	Lhx6
Zic2	Gnl1
Stra13	D6Wsu116e
Nobox	Nckap5
Meis2	Lhx9
GR	C030002c11rik
HNF4	Slc18a1
NRF-1	Dnmt1
NF-E2	Mir335
HNF4	Slc18a2
HNF4	Slc18a3
myogenin	Ubl4b
HNF4	Fhad1
HNF4	Mir17hg
AML1	Mir204
NRF-1	Rpl5
AP-2rep	Mir133a-2
SOX5	Lrtm1
STAT6	Mir410
NF-kappaB(p65)	Fam117a
SOX5	Gm10466
RFX1	Trim66
AML1	Mir205
ETS2	Atp1a2
PUR1	4930526I15Rik
SOX5	Utp6
SREBP-1	Mfsd1
AML1	Mir206
ETS2	Atp1a3
STAT6	Mir412
PUR1	Tgfbr1
AP-2rep	Fam19a3
ERR2(ESRRB)	Polr3d
AP-2rep	Fam19a4
AP-2rep	Fam19a5
Pax-4	BC065397
GCNF	Zbtb8a
ETS2	Hcrtr1
SREBP-1	Mfsd5
HNF4	Hkdc1
NF-Y	Sfxn2
ESE1	1600029D21Rik
NF-Y	Sfxn3
myogenin	Plec
MyoD	Inpp5j
SOX5	Pcyt1b
TTF-1(Nkx2-1)	Rccd1
Stra13	Mrpl2
NF-Y	Sfxn5
STAT6	Lgsn
MAFA	Psmf1
STAT6	Rbm12
SOX5	Jak2
AML1	Hk1
E2F-1	Eif2a
HNF4	Oasl1
ETS2	Rbm4b
AML1	Hk3
HNF4	Carf
COUP	Gm600
HNF4	Dnajc10
ATF1	Clstn2
HEB	Nelf
ATF2	Ppp2r2a
NF-kappaB	5430427O19Rik
NFAT3	Pou3f3
HNF4	Dnajc11
SOX5	Angptl1
myogenin	Fam183b
HNF4	Dnajc13
HNF4	Dnajc14
AP-2rep	Efcab4a
SOX5	Angptl3
HNF4	Dnajc15
GABP	Ap1m1
HNF4	Olfr1201
HNF4	Dnajc16
FRA1	Abr
HNF4	Olfr1202
CREB	Tmem111
HNF4	Dnajc17
HNF4	Dnajc18
HNF4	Olfr1204
HNF4	Dnajc19
Elk-1	Ddx55
USF	Tnrc6b
T3R	Cd79b
PPARG	Mfsd6l
HNF4	Olfr1205
HNF4	Cnbp
NF-Y	Usp39
PUR1	Krt78
HNF4	Olfr1206
GLI	Rmnd5b
HNF4	Cars
HNF4	Olfr1208
HNF4	A2m
