rom GENESYM to affyhg
LXR	C19orf46
Nrf-1	NUP50
SOX10	FEZ1
PU.1	TMEM151B
TCF4	CNR1
MEF2A	CD96
FXR	ZBTB49
NeuroD	NDE1
HMGIY	HOXC10
NFE2L2	LAMC1
HNF4	OXSM
STAT6	OR6Y1
TEF-1	FCHSD1
PR	PSME4
HMGIY	HOXC12
TEF-1	FCHSD2
HSF	GATA6
alpha-CP1	DLEU1
YY1	IL31
ETS2	SORCS1
HOXA1	SEMA5B
HMGIY	RGS1
AP-1	SNAP25
E2A	RTN4RL1
NF-Y	MPP5
ETS2	SORCS2
HMGIY	RGS2
AP-1	PSMD11
Myc	LSP1
YY1	IL33
HMGIY	RGS3
AP-1	PSMD12
Elk-1	BCDIN3D
FLI1	MIR132
USF	CHRM1
ETS2	ALCAM
HMGIY	RGS5
STAT4	CD44
ETS2	GOT1L1
TEF-1	TMPRSS11A
USF	CHRM2
AP-1	PSMD14
ETS2	CSRP2BP
ETS2	MDK
FXR	ATP1A1
AREB6	VIL1
LBP-1	THRAP3
AP-2rep	NPHP4
deltaEF1	FLJ41200
FXR	ATP1A2
TBX5	GDPD2
HMGIY	RGS8
FXR	ATP1A3
TEF-1	TMPRSS11D
PU.1	CLCN5
TEF-1	TMPRSS11E
LRF	MIR96
Nrf-1	NUDT10
TEF-1	GAL3ST1
TEF-1	HECTD1
Nrf-1	NUDT11
REL	FAM18A
TEF-1	TMEM121
TEF-1	HECTD2
SF1	GAD2
STAT4	RPL22L1
TEF-1	HECTD3
PU.1	LOC100126784
Myf	PPP2R2B
c-Ets-1	CANX
TEF-1	GAL3ST4
NeuroD	C8orf40
HNF4	WDR53
NeuroD	C8orf41
TEF-1	SEPHS1
MAFA	PIP5K1B
AP-4	KCNK9
HNF4	WDR54
LEF1	CLTC
Pit-1	MNT
TEF-1	SEPHS2
NeuroD	C8orf42
TEF-1	TMEM125
IRF8	TMEM132E
Nrf-1	KIAA1467
TEF-1	TMEM127
TEF-1	TMEM128
E2A	CECR6
HNF4	WDR59
NeuroD	C8orf46
HNF4	LIM2
TEF-1	TSPAN2
STAT3	MTM1
NeuroD	C8orf48
MAFA	LOC151534
USF1	VILL
NeuroD	STOX1
YY1	LGALS12
TEF-1	TSPAN5
NeuroD	STOX2
c-Rel	ADAMTS4
LEF1	APOLD1
REL	SORL1
FXR	MIR505
TEF-1	TSPAN7
SMAD	ELF2
LBP-1	SPTB
TEF-1	TSPAN8
HEB	TAF9B
TEF-1	TRAT1
ETS2	INPPL1
ETS2	GPR89A
HNF4	LOC113230
STAT6	NRAP
HMGIY	PPCS
PU.1	DDX59
HEB	MYBPH
MAFA	ITGA2
MAFA	ITGA3
NURR1	PTPN13
NeuroD	SEC16B
NURR1	ESF1
c-Ets-1p54	COG7
PU.1	CELF1
NURR1	PTPN14
MAFA	ITGA4
MAFA	ITGA5
PU.1	CELF2
OCT-x	GCNT2
LTF	SCRN1
SOX10	KRTAP25-1
PU.1	ATP5H
PU.1	CELF3
PU.1	CELF4
MAFA	ITGA7
RFX1	LOC285370
ETS2	BIN1
NURR1	PTPN18
AP-2rep	FAM78A
LBP-1	LYL1
AP-2rep	TYK2
PU.1	CELF6
ETS2	BIN3
RORA_2	KHDRBS2
PU.1	ATP5L
AP-2rep	MIR1244-1
AP-2rep	MIR1244-2
NURR1	CD274
RelB:p52(NF-kappaB)	REL
AP-1	MAFG
RFX1	NR2F2
SF1	SCAMP2
AP-2rep	MIR1244-3
Gfi1b	C18orf16
NURR1	CD276
AP-1	SGK223
NF-Y	ETF1
Nrf-1	C3orf34
LBP-1	TMSL3
GABP-alpha	LOC606724
CREB	TUBB2A
YY1	UBE2A
CREB	TUBB2B
E2A	JUP
TEF-1	OR51I2
NURR1	TNNT2
SF1	IFT172
YY1	UBE2C
HMGIY	MT1X
NURR1	TNNT3
LEF1	CTXN3
Oct-2	KCNT2
NeuroD	BLVRB
FXR	FDX1L
STAT4	LOC387723
PU.1	ZBBX
Nrf-1	C3orf39
Tal-1beta:E47	ELAVL4
NURR1	CCL3L1
GABP-alpha	FAM96B
MAFA	ITGAD
MAFA	ITGAE
Tal-1beta:ITF-2	NDP
NURR1	DND1
AR	SPINLW1
NURR1	CCL3L3
PXR(PXR:RXR)	SOS1
PR	HSDL1
NeuroD	OMD
STAT4	C6orf62
CTCF	C1orf168
E47	RIMS4
E2A	NCK2
YY1	RAVER1
YY1	UBE2M
MAFA	ITGAL
TCF4	PCSK1
MAFA	C6orf70
NR1H2::RXRA	TP53BP1
NF-Y	ETFA
alpha-CP1	TXNIP
NFAT2	EGFL6
MAFA	C6orf72
FXR	TST
alpha-CP1	WBP1
NeuroD	OR4N2
STAT3	OS9
YY1	UBE2S
FXR	STX4
GABP-alpha	TTC23
PUR1	PDLIM1
YY1	UBE2T
HNF4	DMC1
GABP-alpha	TTC25
PUR1	RHBDL1
NeuroD	OMP
GABP	TM9SF3
TCF4	PCSK9
SOX4	SSH2
PXR(PXR:RXR)	WBSCR17
NF-kappaB	KCNT2
NURR1	CIB2
FXR	C9orf85
NF-kappaB	ALDOC
HEB	C10orf105
YY1	SAMSN1
NURR1	PODNL1
MEF2A	CAPN3
ETS2	C14orf126
FXR	C9orf89
NUR77	COX6A1
LM4_M2	SNORD15A
ETS2	C14orf129
TEF-1	MSI1
SOX4	INADL
TEF-1	MSI2
STAT4	SLC22A11
Arnt	EPC1
E2A	GK
Ebox	FAF1
HMGIY	FLJ23152
PU.1	LIN37
NFE2L2	C20orf111
NFAT2	NKX2-3
LRF	C3orf21
STAT3	INO80B-WBP1
STAT6	ANKS6
NFAT2	NKX2-4
NeuroD	LST1
PUR1	LRRC41
STAT3	OSM
PUR1	LRRC42
FXR	LOC100129858
PUR1	LRRC43
Staf	GBF1
GLI2	MIR182
NF-Y	NUS1
ETS2	ME2
ATF1	DDX19B
YY1	KL
TCF-4	ELAVL4
NeuroD	SIGMAR1
Lyf-1	CCND3
PUR1	LRRC45
ETS2	ME3
NeuroD	SERPIND1
PU.1	OR6B1
NeuroD	ATAD2B
SOX10	C1orf141
NF-kappaB(p50)	CUEDC2
FRA1	TSPO2
PUR1	LRRC48
SOX9	PFN1
STAT4	MPG
STAT6	ZNF395
PU.1	MPG
STAT4	MPI
SF1	CYC1
NURR1	KRTAP2-1
HNF4	DHRS11
SOX10	C1orf146
ATF2	CCDC41
E12	EHBP1L1
HMGIY	CSPG5
MAFA	CRIP1
STAT3	CAMTA1
PU.1	HOTAIR
STAT4	MPO
MAFA	CRIP3
MAFA	TLK1
MAFA	ACTRT1
PU.1	MPO
MAFA	ACTRT2
YY1	KY
PUR1	LRRC4B
GABP-alpha	UBE4A
LBP-1	ACAT1
YY1	MIR874
Nrf-1	NUP62
SOX10	PML
FXR	LOC100128338
SOX10	STRC
YY1	MIR876
HNF4	CHAD
LBP-1	LOC729177
Oct-1	ARHGAP4
YY1	MIR877
LBP-1	LOC729178
CREB	CLK4
TEF-1	GSTCD
RELA	SIRT2
HNF4	OXTR
E2A	LOC644714
USF1	HIF3A
YY1	GAL
ETS2	TRA2A
YY1	LOC254312
STAT3	NKAIN1
E2A	MAGED1
EBF	CUL7
HMGIY	EIF2A
FLI1	MIR142
YY1	GAN
STAT4	CD53
ETS2	TRA2B
Myc	MUSTN1
NURR1	CRABP2
YY1	SLC12A3
PXR(PXR:RXR)	ANKRD34C
E2A	RBM15B
YY1	SLC12A4
FXR	ATP1B1
HMGIY	KBTBD2
USF	AFF2
YY1	SLC12A5
FXR	ATP1B2
SOX9	MARCKS
SOX4	BFSP1
YY1	SLC12A6
YY1	TTC12
CTCF	MTHFR
MAFA	TNC
SOX10	STRN
MATH1	ELAVL4
USF	AFF4
AP-2rep	DAPK1
STAT4	CD58
FXR	PER2
FXR	ATP1B4
YY1	TTC13
Myc	SERPINE1
AP-2rep	DAPK2
STAT3:STAT3	FOS
YY1	TTC14
YY1	SLC12A8
AP-2rep	DAPK3
HNF4	WDR61
YY1	TTC15
YY1	HGFAC
AP-4	GPR150
YY1	SLC12A9
NeuroD	AHCY
HNF4	WDR62
NeuroD	FLJ11235
HMGIY	KBTBD8
deltaEF1	IPO4
OCT-x	SIAH3
Nrf-2	YIF1A
YY1	TTC17
NURR1	KIAA1456
PNR	MMP11
FXR	CD99L2
YY1	TTC18
HNF4	CHAT
USF1	SCPEP1
YY1	TTC19
TEF-1	TMEM135
ETS2	MET
RFX1	NONO
NeuroD	LOC606724
MAFA	DCAF4
HNF4	WDR66
NERF1a	MIR1205
PU.1	EPT1
LBP-1	GCNT2
NeuroD	C8orf55
HNF4	MUSTN1
SF1	MTRF1
YY1	LHFP
Lyf-1	PLEKHA7
TEF-1	TMEM139
HNF4	WDR69
YY1	NUTF2
NeuroD	C8orf58
MAFA	DAB2
MAFA	MUC1
MAFA	MUC2
HMGIY	MT2A
MAFA	TNR
MAFA	ACTL6B
E2A	SCD5
STAT6	MIR365-2
TEF-1	ZNF740
LEF1	CLIP1
NeuroD	MLYCD
HNF4	LIN9
STAT	SMAD5
Gfi1b	AQP4
NURR1	PTPN21
NURR1	PTPN22
FLI1	HCCS
STAT6	BHMT
MAFA	ITGB4
TEF	L1CAM
PU.1	MARCKSL1
HMGIY	STAT1
NF-Y	GOLPH3L
IRF8	OCLN
MAFA	ITGB5
TEF-1	JOSD2
PUR1	C16orf45
HMGIY	STAT2
LEF1	MLF2
MAFA	ITGB6
HMGIY	STAT3
MAFA	ITGB7
ATF2	PGAP2
STAT4	MAGED4B
PXR(PXR:RXR)	ANXA13
HMGIY	STAT4
HNF4	PLCD1
PUR1	C16orf48
RORA_2	MYCNOS
ETS2	NSD1
USF	TKT
AP-1	UPF2
CREB	IGFLR1
ETS2	HEXIM1
HNF4	PLCD3
HMGIY	STAT6
P50:P50	CXCL10
NeuroD	RPPH1
LBP-1	OR1N2
HNF4	PLCD4
STAT6	ZIC2
SOX10	PDE2A
NeuroD	MIR920
NURR1	SNORA36C
STAT6	ZIC4
STAT3	RARA
LRF	SNCB
NeuroD	MIR921
YY1	UBE3A
Nrf-2	MIA2
ETS2	CDC20
MAFA	UBL4A
CTCF	C1orf170
NeuroD	MIR922
HNF4	STRA13
PUR1	BTG1
YY1	ZNF420
LRF	SNCG
STAT3	S100A10
PUR1	BTG3
Lyf-1	MIR548D2
STAT3	RARG
HMGIY	FANCC
PUR1	BTG4
PU.1	DGAT2
c-Rel	TOR3A
ETS2	CDC26
YY1	ZNF423
TLX1::NFIC	GCHFR
LBP-1	NDUFAF4
TEF-1	RPL13AP17
NF-Y	S100B
HMGIY	FANCF
STAT4	C6orf72
STAT3	S100A14
HNF4	LINS
STAT3	SUDS3
STAT3	S100A16
LBP-1	RECQL4
MAFA	MIR3125
NF-Y	XBP1
HMGIY	FANCI
FXR	TMEM50B
YY1	ZNF428
PUR1	SH2B3
HMGIY	IFLTD1
HMGIY	STATH
Nrf-1	POMT1
TEF-1	SLA
LBP-1	LASS1
Nrf-1	POMT2
MAFA	MIR3128
FXR	TTR
TAL1	FOXL1
CTCF	TNNI2
SMAD	FAM115A
MAFA	MIR3129
TCF4	SETDB2
HMGIY	LOC286238
NeuroD	MIR92B
SOX4	AMY2B
NeuroD	LOC643923
PU.1	RARS2
FXR	MARCH3
Lyf-1	OR10G4
E2A	PHOX2A
SF1	NTPCR
NURR1	ANKZF1
HMGIY	KRT8P41
NFE2L2	FAM122C
GR	CALML5
FXR	C9orf93
YY1	OPRK1
RFX1	SDCBP2
STAT5A	VCAN
Staf	ZFR
TEF-1	SLK
ETS2	CDIPT
ETS2	C14orf132
Lyf-1	OR10G8
Lyf-1	GABRD
FXR	MARCH8
PU.1	BAIAP3
Lyf-1	OR10G9
SMAD	TTC14
FXR	C9orf96
MAFA	UNC50
TEF-1	SLN
STAT4	PNPT1
LBP-1	MIR3914-2
YY1	IL10RA
ETS2	ISL1
ERR2(ESRRB)	NTF3
HNF4	PSMA1
STAT3	OTC
FXR	GDF2
STAT4	CKLF-CMTM1
HEB	CD28
NeuroD	AKAP10
HNF4	PSMA4
NeuroD	AKAP11
HNF4	PSMA6
c-Ets-1	CAP1
PPAR	HSDL2
NeuroD	AKAP12
PUR1	CABYR
c-Rel	RARA
HNF4	PSMA8
NeuroD	AKAP14
NF-Y	TRIB1
Tel-2	MUC21
c-Rel	HMGB2
PXR(PXR:RXR)	CDK4
PXR(PXR:RXR)	IL1R1
PARP	C2orf49
USF	NCRNA00245
TEF-1	IL11RA
MAX	WIPI1
LBP-1	APPL1
GLI2	TMEM190
LBP-1	APPL2
ATF	MCM10
Tel-2	ATP7A
SOX10	MIR377
PXR(PXR:RXR)	CDK8
PUR1	LRRC55
MAFA	CLNS1A
STAT3	OTP
SOX10	C1orf150
PU.1	OR6C1
PUR1	LRRC56
NeuroD	SERPINE1
Ets	DGUOK
NeuroD	ATAD3B
Elk-1	PRKAG2
NeuroD	SERPINE2
MAFA	UNC5B
NUR77	ALAS1
LBP-1	LOC440335
GR	UACA
TEF-1	PPP1R9A
TEF-1	PPP1R9B
YY1	IRS1
YY1	IRS2
AP-2rep	EFNA1
Myc	KRT78
USF	OPN1LW
LBP-1	EEF1DP3
SOX10	C1orf158
YY1	SOX13
LM4_M2	C9orf123
AP-2rep	EFNA4
YY1	GBA
PUR1	SYNGR1
AP-2rep	EFNA5
NeuroD	PNKP
TCF4	FOXN3
AP-2rep	AHCYL1
MAFA	TLL1
PUR1	SYNGR3
FXR	SPAG8
YY1	KRTAP12-1
CTCF	TGM2
NFAT2	RPRD1A
YY1	SOX18
LBP-1	SIAH3
STAT6	LOC440104
NFE2L2	GLIS3
YY1	MIR885
ETS2	LOC400891
YY1	KRTAP12-3
SOX4	SCAF4
LTF	SNORD93
YY1	KRTAP12-4
SOX10	CIRH1A
SOX10	PNN
SOX10	SNORD45A
SOX10	SNORD45B
TEF-1	MFHAS1
YY1	MIR888
YY1	MIR889
SOX10	SNORD45C
PPAR	PTRH2
ETS2	ISLR
EBF	MBIP
SMAD	UBE3B
ETS2	MFF
NF-Y	CABYR
GR	PAK3
MEF-2	GPER
YY1	EHBP1L1
YY1	TWF2
TEF-1	PRPF40A
IRF8	MTUS1
HMGIY	EIF3E
TEF-1	PRPF40B
YY1	TTC22
NeuroD	FLJ22536
Lyf-1	ANKRD58
HOXC9	SH3TC2
Nrf-1	SGTA
GR	OXGR1
AP-4	CHCHD2
HNF4	WDR70
HMGIY	EIF3H
AREB6	PITPNM1
AP-4	CHCHD4
YY1	TTC26
TEF-1	TMEM143
RORA_2	OSBPL1A
HNF4	WDR73
STAT3	BBS10
Lyf-1	PLEKHB1
YY1	TTC27
YY1	TTC28
LBP-1	PDCD6IP
TEF-1	KIF9
HMGIY	EIF3M
YY1	TTC29
HNF4	WDR75
CTCF	C8B
HNF4	SAMHD1
TEF-1	TMEM147
NeuroD	LOC284009
E2A	C1orf115
STAT6	IL17B
ETS2	UBE2R2
HNF4	WDR77
ETS2	CNR1
MAFA	CYP4F11
ERR2(ESRRB)	SH2B1
PXR(PXR:RXR)	C13orf36
FXR	ZPLD1
SOX10	RRNAD1
TEF-1	OR2S2
AP-4	KDM1B
MAFA	CYP4F12
TEF-1	LOC285847
HMGIY	LOC100306975
FXR	MIA2
NURR1	TARS2
STAT6	PISD
GABP	MPZL3
FXR	BDNF
FXR	MIA3
USF	ALOX12
Nrf-1	GNPTAB
YY1	RALYL
PU.1	MUC21
TEF-1	NEXN
YY1	LEMD1
SMAD	NEURL4
YY1	LEMD2
HNF4	DCAKD
PU.1	GYLTL1B
MAFA	WDR38
SOX10	TFIP11
PPAR	BANF2
Tal-1beta:E47	NUMBL
STAT4	C15orf2
NeuroD	LOC100144602
AP-2rep	THNSL2
NeuroD	LOC100144603
TEF-1	TMEM14A
E2A	ZMIZ2
NeuroD	LOC100144604
TEF-1	TMEM14B
AP-2rep	NOSTRIN
YY1	YDJC
IPF1	CAMK4
NF-1	CIC
LTF	HES7
PUR1	C16orf53
ERR2(ESRRB)	OSM
STAT3	GFPT2
PUR1	C16orf55
SF1	ACTC1
SOX4	LOC339788
HMGIY	STAU2
ETS2	CPSF2
TEF-1	NUP35
PUR1	C16orf57
AP-2rep	TAOK3
HNF4	PLCE1
ETS2	CPSF3
LBP-1	ZFP30
YY1	FITM1
TEF-1	NUP37
USF1	FLJ39051
HNF4	TXN2
YY1	FITM2
PUR1	C16orf59
MAFA	LTB4R2
LBP-1	NT5C1A
Lyf-1	ZBTB22
NeuroD	HRAS
SOX10	PDE3B
GR	LOC646627
TEF-1	ZNF75A
STAT4	MIR3120
NURR1	IL1F10
LBP-1	ZFP36
STAT6	SPIRE1
NRSE	CELSR3
TEF-1	RPL13AP20
YY1	UBE4A
STAT4	MIR3122
STAT6	BTNL9
NUR77	TRMT2A
TEF-1	ZNF75D
AP-4	EDN2
YY1	UBE4B
PU.1	PHGDH
AP-4	EDN3
NF-Y	PCYOX1L
SOX10	MIR181C
PU.1	UBL7
STAT4	MIR3125
YY1	LRIG1
HNF4	LOC389247
TEF-1	OTOL1
SOX10	MIR181D
NeuroD	MIR936
TGIF2	NDST4
YY1	LRIG2
LEF1	LOC152742
YY1	LRIG3
NeuroD	MIR937
YY1	ZNF432
ATF3	ASPHD1
AP-2rep	NHLH2
NeuroD	MIR938
OCT-x	EPHA6
YY1	MAPK1
ETS2	CDC37
Nrf-1	UNG
STAT4	MIR3129
NeuroD	MIR939
YY1	ZNF434
HB9	KIAA0528
STAT6	ACLY
YY1	MAPK4
STAT6	PLA2G15
NFAT2	PPP1R12B
YY1	ZNF436
PUR1	PUM1
STAT3	MTOR
AP-2rep	CLDN1
AP-2rep	STK3
AP-2rep	STK4
STAT6	VNN2
YY1	ZNF438
YY1	MAPK7
MAFA	MIR3138
YY1	MAPK8
NFAT2	P4HA1
AP-2rep	CLDN4
YY1	AVIL
YY1	MAPK9
FXR	EIF4EBP1
FRA1	ST6GALNAC5
AP-2rep	CLDN6
FXR	EIF4EBP3
ATF	TMF1
NeuroD	OR4P4
LBP-1	HDAC11
SOX4	STK40
YY1	BAZ1B
YY1	OPRL1
SOX10	PEMT
LEF1	PLA2G4B
SOX10	LOC254128
AP-1	ITPKC
PU.1	MR1
ETS2	C14orf142
Nrf-1	CENPC1
USF	AXL
SMAD	TTC24
PU.1	AOAH
ETS2	C14orf145
HNF4directrepeat1	IFFO1
USF1	BCOR
GABP	ADAM17
TEF-1	SMO
PUR1	GALC
HNF4	PSMB2
YY1	MB
HNF4	PSMB3
ETS2	C14orf148
AP-2rep	GLB1L2
PUR1	GALE
E2F	PDE4B
LBP-1	GABARAPL1
HMGIY	CCRN4L
TEF-1	SMS
SOX4	DMC1
NF-Y	RAP2A
PU.1	LIN54
RFX1	BRWD3
SOX10	HIC2
YY1	LOC93432
GR	FCHO1
SOX10	MIR380
AREB6	MVK
ETS2	AIMP1
STAT4	SLC1A3
YY1	MBTPS1
SOX10	MIR381
STAT4	SLC1A4
SOX10	MIR382
YY1	MBTPS2
HEB	MAN1A1
YY1	ODZ2
Tel-2	PODNL1
TCF-4	DDX5
OCT-x	MYLK
YY1	LOC730811
YY1	ODZ4
TCF-4	DOCK8
AP-2rep	CIB3
ETS2	ZNF408
USF	SLC4A2
ETS2	ADNP
Myc	KRT80
USF	RANBP1
LBP-1	XPO7
STAT3	DSC3
NeuroD	SERPINF1
NeuroD	SERPINF2
SOX10	C1orf162
LBP-1	PAPL
ELK1	KATNB1
NURR1	CDKL2
SOX4	TEX2
Myc	KRT86
NURR1	CDKL4
STAT6	SCARNA1
FRA1	SHH
AP-2rep	EFNB1
STAT6	IL2
YY1	SOX21
STAT3	CDKN2B-AS1
NURR1	PEG3
Myf	TMEM85
SOX10	C1orf168
SOX10	DNM3
HNF4	ADARB2
NeuroD	MATR3
YY1	MIR890
MAFA	SULT2B1
NeuroD	CRYL1
STAT6	IL6
STAT6	SCN1B
STAT6	CRISPLD2
LM4_M2	C9orf135
PR	MBLAC2
PU.1	MRO
Nrf-1	DNAH2
PUR1	PDPK1
LBP-1	MAB21L2
STAT3	SPATA2
YY1	ZIM2
ETS2	MGA
LBP-1	MAB21L3
TEF-1	LOC441177
SOX10	PTCHD2
IRF8	ABI1
YY1	GCG
NeuroD	SDR9C7
SF1	DRAM2
HNF4	INTS12
Nrf-1	NUP85
HEB	GADD45G
STAT3	PIP4K2A
ETS2	GNGT1
YY1	GCK
ETS2	GNGT2
STAT3	SPATA8
TEF-1	PALLD
STAT3	SPATA9
STAT4	RNF11
LEF1	MIR31
YY1	TTC31
EBF	POU2F2
AP-4	KCNN3
STAT3	ATP5EP2
MAFA	SGK2
HNF4	WDR81
TEF-1	HNRNPC
TEF-1	CDC42SE1
Lyf-1	DEPDC1B
SOX10	RORA
AP-1	BUD31
HNF4	WDR82
TEF-1	CDC42SE2
HNF4	WDR83
NURR1	TRAPPC4
STAT6	ILK
CHX10	BSN
Nrf-1	MIR1908
TEF-1	TMEM154
SOX10	RORC
TEF-1	TMEM155
PUR1	C2orf42
USF1	LOC440926
NeuroD	C8orf73
AP-4	GATSL3
NURR1	TRAPPC8
NURR1	CASKIN2
NeuroD	C8orf74
Bach2	AQP1
SOX10	TGIF2-C20ORF24
HMGIY	HS6ST3
MAFA	WDR41
NeuroD	C8orf75
TEF-1	TMEM158
CHX10	TNFRSF11B
TEF-1	OR2T1
TEF-1	TMEM159
HNF4	WDR89
NeuroD	C8orf76
PUR1	C2orf46
TEF-1	HNRNPK
USF	FAM47E
TEF-1	HNRNPL
MAFA	DAD1
HMGIY	SPINK6
MAFA	TPO
YY1	TRRAP
SMAD	OPRL1
HMGIY	SPINK7
AP-2rep	MIR376A2
LRF	HIRA
TEF-1	MTSS1
HMGIY	LOC644656
NFAT2	MSMP
TEF-1	R3HDM1
MAFA	ZC3H7B
PNR	ESRRA
MAFA	WDR48
SOX4	CHAT
TEF-1	OR2T8
HNF4	BCAN
E2A	HTRA1
TEF-1	HNRNPR
c-Rel	PTGES
E2A	HTRA2
LBP-1	HCLS1
TCF-4	USP46
TEAD1	MYL12A
LBP-1	EPHA1
NURR1	TRIM2
TEF-1	HNRNPU
LBP-1	EPHA3
LBP-1	EPHA4
LBP-1	EPHA5
NURR1	SEC14L1
MEIS1	CA4
TCF-4	DCLK1
LBP-1	EPHA6
HMGIY	U2SURP
YY1	IL6R
TEF-1	KIAA0889
NURR1	TRIM7
NURR1	TRIM8
LBP-1	EPHA8
STAT5A	MIR4287
NURR1	SEC14L4
NFE2L2	BCL9L
Nrf-1	TUBB2B
HNF4	LIPC
LBP-1	IMMP1L
HNF4	UBXN10
PR	EMG1
SOX4	LIN9
HNF4	UBXN11
RFX1	DCDC2B
HNF4	LIPE
USF1	NME1
LEF1	UBE2R2
SOX10	PDE4A
Lyf-1	FMNL3
GABP	TMCO1
HSF2	RHOBTB2
YY1	FCN3
HNF4	LIPG
NURR1	SNORA38B
MyoD	SYNPO2L
SOX10	PDE4B
NUR77	SHBG
NeuroD	MIR940
HNF4	LIPH
MAFA	PLCB1
HNF4	YES1
HEB	UFM1
GABP	TMCO4
TEF-1	OR51L1
ETS2	CDC40
NeuroD	MIR942
PU.1	PRMT1
MAFA	PLCB3
HNF4	LIPK
CTCF	LOC730101
Nrf-1	C3orf67
NeuroD	MIR943
MAFA	PLCB4
NF-Y	SERPINA6
NeuroD	SEC62
ETS2	CDC42
STAT6	TMEM17
LBP-1	FLJ16779
Brn-4	IRX6
TEF-1	AMDHD1
NeuroD	SEC63
MAFA	VDAC3
HNF4	LIPM
TEF-1	AMDHD2
HEB	ASB2
HMGIY	CD101
STAT4	KRTAP4-11
Myc	ARMC1
MAFA	MIR3141
NR1H2::RXRA	THOC2
GR	HIVEP3
ETS2	TEX13A
HEB	ASB5
MAFA	MIR3142
AP-1	NTM
ETS2	CNST
YY1	ZNF445
YY1	ZNF446
LBP-1	PTER
STAT1:STAT1	SSTR2
HEB	ASB9
HNF4	AGBL1
GR	KIT
Oct-1	RNF24
Nrf-1	SRP54
HNF4	AGBL2
STAT4	IP6K3
STAT4	C6orf97
YY1	ZNF449
SOX10	FXR2
Myc	ARMC9
NURR1	CASP8AP2
PUR1	SH2D5
PUR1	SH2D6
HNF4	AGBL4
PUR1	SH2D7
TEF-1	AKAP8L
STAT3	HIBADH
YY1	BAZ2A
AP-1	C10orf10
PUR1	UBR4
GLI1	THRAP3
SOX4	LINS
YY1	BAZ2B
PU.1	TBL1XR1
HMGIY	TNRC6B
PU.1	STK16
YY1	OPRM1
NeuroD	DDX4
NeuroD	DDX5
SOX10	TYW3
SOX4	KLF12
NeuroD	DDX6
TEF-1	SNN
HEB	C10orf136
ETS2	THADA
STAT5A(homodimer)	C14orf179
HMGIY	MIR1244-1
AP-1	C10orf18
TCF-4	BMI1
HEB	CD47
CREB	FBXO34
HMGIY	MIR1244-2
HMGIY	MIR1244-3
HNF4	PSMC4
ETS2	ZNF410
ETS2	C14orf159
SOX10	TCEB3B
HNF4	PSMC5
FXR	PNMAL1
HNF4	PSMC6
AP-4	C2orf43
TEF-1	MSL3
E12	FAM20A
NeuroD	EIF4A2
TEF-1	NAPSB
ETS2	EIF3CL
FXR	CD274
HNF4	CDHR1
SOX4	REG1A
PUR1	NECAB3
TEF-1	PABPN1
PUR1	LRRC71
LBP-1	PL-5283
ETS2	RAVER1
Nrf-1	TLX3
PR	SNORD54
HNF4	CHD2
STAT6	FCF1
HNF4	CDHR4
ETS2	ZNF419
HNF4	CHD3
HNF4	CDHR5
FXR	TNNT2
SOX10	WSCD1
NeuroD	SERPING1
HNF4	CHD5
SOX10	FAM83D
HNF4	CHD6
SOX10	WSCD2
Pax-6	CCDC58
MAFA	NOP14
TEF-1	PALM2
NF-Y	SH2D5
TEF-1	PALM3
NURR1	LYPLAL1
SOX10	FAM83F
PUR1	GAMT
HNF4	CHD8
E2A	ACPL2
ETS2	BCL2L1
HNF4	CHD9
ETS2	BCL2L2
ATF1	CDX4
FXR	LOC100128361
PU.1	SERTAD2
AP-2rep	APOBEC1
p53decamer	BMX
TEF-1	SRP14
STAT4	MSN
STAT4	LOC284294
MAFA	TLN2
NURR1	SFTPD
Tal-1alpha:E47	ADCYAP1
USF	PLP1
GABP	SREK1
TEF-1	SRP19
E2A	TNFRSF4
NeuroD	PNMT
NeuroD	LOC285547
STAT3	UBQLN4
NeuroD	LOC285548
E2A	FGD5
USF1	UTP18
TEF-1	MSLN
c-Ets-1p54	LRRC49
FXR	BDP1
LBP-1	BAHD1
TEF-1	PALMD
HNF4	CHDH
PUR1	PHOSPHO1
deltaEF1	ADORA2B
PXR(PXR:RXR)	TCP11L1
STAT3	MOXD1
LBP-1	HEG1
GR	FAM20A
SOX10	C10orf2
STAT4	CD83
STAT3	SCUBE3
NURR1	CHI3L1
STAT4	BET1
HMGIY	OPALIN
STAT4	CD86
PXR(PXR:RXR)	DMD
SOX10	PPY
SOX10	NCKAP1L
LRF	PACS1
TEF-1	TMEM160
HNF4	WDR90
E12	MAP3K1
AP-1	HIVEP2
NeuroD	LOC284023
c-Myc:Max	SLC16A13
E2A	C1orf130
GR	COL7A1
HNF4	WDR92
GABP	TAF12
NeuroD	C8orf80
TEF-1	TMEM163
NURR1	KIAA1486
MEF-2	MIR132
GABP	TAF13
MAFA	LYSMD2
NeuroD	C8orf82
STAT6	CYLC1
PUR1	C2orf53
MAFA	LYSMD3
STAT4	LOC646329
HNF4	WDR96
MAFA	LYSMD4
NeuroD	C8orf84
TCF4	R3HCC1
LBP-1	HIST1H2AD
TEF-1	RAB11FIP3
STAT4	CD8A
NeuroD	C8orf85
TEF-1	TMEM168
TEF-1	CKMT2
PUR1	IGSF9B
MAFA	WDR52
NeuroD	C8orf86
TEF-1	TMEM169
LM4_M2	VPRBP
ETS2	MIR873
TEF-1	RAB11FIP5
